date,output,total_income_support
2021-08-02,"[location_key=US_SC,school_closing=1]",1.0
2021-08-02,"[location_key=US_SC,school_closing=1]",1.0
2021-08-02,"[location_key=US_SC,school_closing=1]",1.0
2021-08-02,"[location_key=US_SC,school_closing=1]",1.0
2021-08-02,"[location_key=US_SC,school_closing=1]",1.0
2021-08-02,[location_key=US_SC],1.0
2021-08-02,[location_key=US_SC],1.0
2021-08-02,[location_key=US_SC],1.0
2021-08-02,[location_key=US_SC],1.0
2021-08-02,[location_key=US_SC],1.0
2021-08-02,[location_key=US_SC],1.0
2021-08-02,[location_key=US_SC],1.0
2021-08-02,"[location_key=US_SD,school_closing=0]",1.0
2021-08-02,"[location_key=US_SD,school_closing=0]",1.0
2021-08-02,"[location_key=US_SD,school_closing=0]",1.0
2021-08-02,"[location_key=US_SD,school_closing=0]",1.0
2021-08-02,"[location_key=US_SD,school_closing=1]",1.0
2021-08-02,"[location_key=US_SD,school_closing=1]",1.0
2021-08-02,"[location_key=US_SD,school_closing=1]",1.0
2021-08-02,[location_key=US_SD],1.0
2021-08-02,[location_key=US_SD],1.0
2021-08-02,[location_key=US_SD],1.0
2021-08-02,[location_key=US_SD],1.0
2021-08-02,[location_key=US_SD],1.0
2021-08-02,[location_key=US_SD],1.0
2021-08-02,[location_key=US_SD],1.0
2021-08-02,"[location_key=US_TN,school_closing=1]",1.0
2021-08-02,"[location_key=US_TN,school_closing=1]",1.0
2021-08-02,"[location_key=US_TN,school_closing=1]",1.0
2021-08-02,"[location_key=US_TN,school_closing=1]",1.0
2021-08-02,"[location_key=US_TN,school_closing=1]",1.0
2021-08-02,"[location_key=US_TN,school_closing=1]",1.0
2021-08-02,"[location_key=US_TN,school_closing=1]",1.0
